date,location,tweetcreatedts,sentiment
20220225,New Zealand,192,-0.166666667
20220225,Nicaragua,23,-0.47826087
20220225,Niger,2146,-0.196178938
20220225,North Korea,7,0
20220225,Norway,204,-0.196078431
20220225,Oman,29,-0.206896552
20220225,Pakistan,1965,-0.386259542
20220225,Panama,20,-0.25
20220225,Papua New Guinea,6,0.333333333
20220225,Paraguay,21,-0.333333333
20220225,Peru,131,-0.396946565
20220225,Philippines,238,-0.18907563
20220225,Poland,436,-0.291284404
20220225,Portugal,407,-0.221130221
20220225,Puerto Rico,108,-0.259259259
20220225,Qatar,80,-0.4375
20220225,Republic of Serbia,36,-0.305555556
20220225,Romania,155,-0.122580645
20220225,Russia,209,-0.387559809
20220225,Rwanda,38,-0.368421053
20220225,Saudi Arabia,63,-0.444444444
20220225,Senegal,10,-0.5
20220225,Sierra Leone,3,-0.333333333
20220225,Slovakia,44,-0.136363636
20220225,Slovenia,65,-0.153846154
20220225,Solomon Islands,2,-0.5
20220225,Somalia,33,-0.272727273
20220225,Somaliland,9,-0.111111111
20220225,South Africa,1185,-0.417721519
20220225,South Korea,25,-0.24
20220225,South Sudan,6,-0.166666667
20220225,Spain,221,-0.185520362
20220225,Sri Lanka,132,-0.265151515
20220225,Sudan,20,-0.6
20220225,Swaziland,5,-0.8
20220225,Sweden,277,-0.202166065
20220225,Switzerland,272,-0.191176471
20220225,Syria,59,-0.474576271
20220225,Taiwan,144,-0.194444444
20220225,Tajikistan,1,0
20220225,Thailand,575,-0.302608696
20220225,The Bahamas,2,-0.5
20220225,Togo,3,-0.333333333
20220225,Trinidad and Tobago,22,-0.454545455
20220225,Tunisia,16,0.125
20220225,Turkey,136,-0.220588235
20220225,USA,6944,-0.283554147
20220225,Uganda,213,-0.244131455
20220225,Ukraine,904,-0.336283186
20220225,United Arab Emirates,148,-0.371621622
20220225,Uruguay,26,-0.230769231
20220225,Uzbekistan,5,-0.6
20220225,Vanuatu,5,-0.4
20220225,Venezuela,250,-0.28
20220225,Vietnam,26,-0.269230769
20220225,West Bank,2,0
20220225,Western Sahara,1,0
20220225,Yemen,20,-0.7
20220225,Zambia,49,-0.285714286
20220225,Zimbabwe,81,-0.197530864
20220226,Afghanistan,75,-0.52
20220226,Albania,36,-0.305555556
20220226,Algeria,11,-0.545454545
20220226,Angola,2,-0.5
20220226,Antarctica,55,-0.490909091
20220226,Argentina,248,-0.286290323
20220226,Armenia,17,-0.588235294
20220226,Australia,1137,-0.279683377
20220226,Austria,164,-0.268292683
20220226,Azerbaijan,90,-0.188888889
20220226,Bangladesh,266,-0.139097744
20220226,Belarus,11,-0.272727273
20220226,Belgium,320,-0.2625
20220226,Belize,4,0
20220226,Benin,22,-0.181818182
20220226,Bhutan,3,-0.333333333
20220226,Bolivia,29,-0.517241379
20220226,Bosnia and Herzegovina,25,-0.44
20220226,Botswana,15,0.2
20220226,Brazil,145,-0.262068966
20220226,Brunei,4,0
20220226,Bulgaria,80,-0.2625
20220226,Burkina Faso,8,-0.25
20220226,Cambodia,25,-0.28
20220226,Cameroon,12,-0.083333333
20220226,Canada,2260,-0.229646018
20220226,Central African Republic,1,0
20220226,Chad,2,-1
20220226,Chile,280,-0.325
20220226,China,121,-0.256198347
20220226,Colombia,210,-0.242857143
20220226,Costa Rica,65,-0.323076923
20220226,Croatia,97,-0.237113402
20220226,Cuba,52,-0.269230769
20220226,Cyprus,48,-0.25
20220226,Czech Republic,144,-0.340277778
20220226,Denmark,189,-0.201058201
