,location,hashtag,cnt,retweet_mean,retweet_max,text
2367,Jordan,usa,176,2.24,137,you never made us a pariah joe welcome to jeddah sir bidenvisitsaudiarabia usa saudiarabia pariah america https t co xkm1eqqn20
2368,Jordan,war,30,20.27,317,from the very beginning of war the mykolayiv zoo was bombed half of the staff was evacuated some of them went to war the director volodymyr topchyi decided to stay and to help stressed animals he asks for support by buying e tickets https t co lxxfq6yuzr https t co j592zszjfk
2369,Kazakhstan,armukrainenow,34,715.18,6320,join millions of voices in a global social media campaign armukrainenow 1 post a picture with a sign saying armukrainenow 2 call on your government to provide heavy weapons to ukraine 3 tag 3 friends and ask them to do the same stand with the ukrainian people https t co sfx96p4ckj
2370,Kazakhstan,biden,16,68.94,662,the whitehouse briefing room was fully packed as bts visited the place to meet u s president joe biden check out the video to see bts speaking at white house btsatthewhitehouse btsatwhitehouse btsxbiden 방탄소년단 https t co xcobnlpjmo
2371,Kazakhstan,bucha,40,1151.82,12694,this guy is a volunteer who helps to exhume corpses from mass graves in bucha to understand the horrors of buchamassacre you need to look at his face the emotions of this young man show it https t co cqf44k75th
2372,Kazakhstan,business,4,0.25,1,fifth plenary session of the cica_business council amp seventh cica_business forum disscussions will be focused on digitalizion of business processes in smes and food security issues please visit our website for details https t co eahtxrmqwm https t co be61ahdnve
2373,Kazakhstan,china,76,6.91,174,nato was formed in 1949 to promote the interests of us imperialism little has changed since nato boss jensstoltenberg told us china treats journalists badly but did not mention the persecution of julian assange or israel murdering journalists https t co h1rv3grfad
2374,Kazakhstan,eu,48,166.9,3105,the eu condemns war crimes in ukraine does nothing to stop the war we should investigate russian ukrainian war crimes can we also investigate war crimes by us nato in afghanistan libya iraq israel in palestine saudi uae uk us french in yemen in mali https t co eepb5ml2qm
2375,Kazakhstan,kharkiv,29,430.34,4079,this is kharkiv east ukraine on 6 march 2022 before putin began his barbaric war against the ukrianian people kharkiv was a vibrant city of 1 5 million people how can the world let this happen https t co mycqlapjfi
2376,Kazakhstan,kherson,19,200.53,1883,the scream from kherson de occupation is inevitable https t co 5hyaqg1pne
2377,Kazakhstan,kyiv,72,1209.88,29655,putin s dream of creating a greater russia is my country s nightmare saveukraine kyiv stopputinswar standtogether freeukraine weareallukrainians standwithukraine stopthewar https t co ekw3k6bsbz
2378,Kazakhstan,mariupol,107,1097.12,12299,tetiana kushnir doctor with the national guards of ukraine died in mariupol azovstal 40 days ago her husband was killed they have a baby son left he s safe rest in peace tetiana we will avenge you armukrainenow https t co addxkveagd
2379,Kazakhstan,nato,93,162.73,3766,turkish nato disagreements in a nutshell turkey nato finland sweden https t co xjsadbbctx
2380,Kazakhstan,news,7,294.14,558,stop killing ukrainian children do everything in your power to stop the soldiers enough child deaths saveukrainianchildren war worldnews news nato eu us aggression ukrainewar ukraine standwithukraine putinswar russianukrainewar https t co 57znlqxftj
2381,Kazakhstan,putin,260,131.57,6326,putin will not stop at ukraine fuck putin fckputin https t co bcfkpda2eu
2382,Kazakhstan,russia,881,244.92,43381,in stpetersburg russia the police detained a well known survivor of the siege of leningrad yelena osipova at an anti war protest https t co qfhprwkcco
2383,Kazakhstan,russiaisaterroriststate,56,1543.09,20726,russians kill peaceful ukrainians everyday russians torture our soldiers in captivity russians ruin our cities with bombs do not expect them to stop they won t instead help us with weapons ask your governments to arm ukraine we need them right now russiaisaterroriststate https t co xdr1lvm9c5
2384,Kazakhstan,russian,194,545.15,52152,just in russian state tv channels have been hacked by anonymous to broadcast the truth about what happens in ukraine oprussia opkremlin fckputin standwithukriane https t co vbq8pqnjpc
2385,Kazakhstan,russianukrainianwar,11,1579.18,4479,21 temporarily occupied popasna luhansk oblast russians cut off man s head and put it on a stick amnesty international don t see this armukrainenow warcrimes war russianwarcrimes russianukrainianwar https t co cgfk6g5tby
2386,Kazakhstan,russiaukrainewar,27,453.41,10489,ukrainians are not backing down this is the mayor of kyiv vitali klitschko russiaukrainewar https t co tm2y1j0emj
2387,Kazakhstan,slavaukraini,19,1704.47,15591,this is for the ones who stood their ground odessa ukraine slavaukraini https t co n9it2eoeh7
2388,Kazakhstan,standwithukraine,220,775.01,21990,thank you russiaun for your letter dated march 16 please see our suggested edits below standwithukraine respectthecharter https t co 0m663r0tuw
2389,Kazakhstan,stoprussia,30,1606.53,9162,katya was killed by russians on may 22 defending ukraine rip stoprussia standwithukraine https t co tykraefsg6
2390,Kazakhstan,ukraine,1697,368.26,80549,this out of ukraine is 100 one of the most incredible videos i have ever seen this russian pow has the heart of a lion https t co kix1rsn0cz
2391,Kazakhstan,ukrainerussianwar,19,6440.74,66631,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2392,Kazakhstan,ukrainerussiawar,33,82.15,1408,putin vs zelensky this morning both were with their defense ministers ukrainerussiawar https t co qkesiuxkbh
2393,Kazakhstan,ukraineunderattack,13,9268.08,66631,little girl singing let it go in a shelter ukrainerussianwar ukraine ukraineunderattack https t co 6gfcuoiwjj
2394,Kazakhstan,ukrainewar,19,106.63,631,andrea cisternino stays in ukraine to protect stray dogs even in war he will not give up his mission ukrainewar ukrainerussianwar ukraine https t co jlmp2wbcjl
2395,Kazakhstan,ukrainian,52,391.1,4555,children in kyiv region villages liberated by ukrainian army if you do not leave our land I shall I will shoot you all boys have vivid memories about russianinvasion you cannot watch it without tears standwithukraine stopwar stoprussia https t co armiplgort
2396,Kazakhstan,us,28,181.93,780,eu warns of authoritarianism as it grows more authoritarian itself if we want to stop the bloodshed destruction and all the terrible ramifications of the war we need diplomacy dialogue but us nato do not want the war to stop and eu leadership is inept compromised https t co c2x3oqlogs
2397,Kazakhstan,usa,23,23.83,483,we must help the ukrainian army with weapons do not be afraid of putin ukraine will win and protect us war worldnews news nato eu usa standwithukraine us https t co aqzbpbvy1c
2398,Kazakhstan,war,53,177.17,4479,21 temporarily occupied popasna luhansk oblast russians cut off man s head and put it on a stick amnesty international don t see this armukrainenow warcrimes war russianwarcrimes russianukrainianwar https t co cgfk6g5tby
2399,Kenya,armukrainenow,265,338.27,11872,join millions of voices in a global social media campaign armukrainenow 1 post a picture with a sign saying armukrainenow 2 call on your government to provide heavy weapons to ukraine 3 tag 3 friends and ask them to do the same stand with the ukrainian people https t co sfx96p4ckj
2400,Kenya,biden,243,171.79,3471,watch biden in 2002 as he mocks us marine scott ritter calling him scotty boy and grinning as he repeats it s above your pay grade kthalps aaronjmate see the full interview https t co o9ekokpuxx https t co pykemkqtja
2401,Kenya,bucha,170,1066.06,12161,this guy is a volunteer who helps to exhume corpses from mass graves in bucha to understand the horrors of buchamassacre you need to look at his face the emotions of this young man show it https t co cqf44k75th
2402,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
2403,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
2404,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
2405,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
2406,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
2407,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
2408,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
2409,Kenya,business,1482,2.19,108,jiji is the best platform worldsthinnest5gphone best actor oppofantasticdays journeytothestart floki business crosschainswap pinetwork paybolt_business_app bsc safaricom conkerapp100cr bscgem oga sabinus digitalmarketing russiaukrainewar russian https t co wyuqjtswoz
